symbol,date,open,high,low,close,volume,adjusted
SIZE,4/18/2013,50.150002,50.150002,50.150002,50.150002,100,42.886425
SIZE,4/19/2013,50.150002,50.150002,50.150002,50.150002,0,42.886425
SIZE,4/22/2013,50.209999,50.209999,50.209999,50.209999,100,42.937737
SIZE,4/23/2013,50.91,50.98,50.91,50.98,200,43.596195
SIZE,4/24/2013,50.619999,50.619999,50.619999,50.619999,200,43.288345
SIZE,4/25/2013,51.220001,51.220001,51.220001,51.220001,600,43.801456
SIZE,4/26/2013,51.43,51.43,51.200001,51.200001,600,43.784348
SIZE,4/29/2013,51.220001,51.450001,51.220001,51.450001,4600,43.998127
SIZE,4/30/2013,51.279999,51.619999,51.279999,51.619999,4800,44.143524
SIZE,5/1/2013,50.490002,50.490002,50.490002,50.490002,900,43.177193
SIZE,5/2/2013,50.490002,50.490002,50.490002,50.490002,0,43.177193
SIZE,5/3/2013,52.119999,52.139999,51.98,52.029999,2400,44.494125
SIZE,5/6/2013,52.43,52.43,52.43,52.43,100,44.836193
SIZE,5/7/2013,52.110001,52.240002,52.110001,52.240002,1000,44.67371
SIZE,5/8/2013,52.34,52.34,52.32,52.32,2100,44.742115
SIZE,5/9/2013,52.41,52.41,52.200001,52.23,4200,44.665157
SIZE,5/10/2013,52.23,52.23,52.23,52.23,0,44.665157
SIZE,5/13/2013,52.389999,52.389999,52.389999,52.389999,200,44.801987
SIZE,5/14/2013,52.869999,52.950001,52.869999,52.950001,2500,45.280872
SIZE,5/15/2013,52.990002,53.18,52.990002,53.16,500,45.460461
SIZE,5/16/2013,53.790001,53.790001,53,53,900,45.323631
SIZE,5/17/2013,53.130001,53.130001,53.130001,53.130001,400,45.434803
SIZE,5/20/2013,53.389999,53.400002,53.279999,53.290001,7600,45.571636
SIZE,5/21/2013,53.43,53.43,53.43,53.43,200,45.691353
SIZE,5/22/2013,53.540001,53.540001,52.82,52.82,1400,45.169708
SIZE,5/23/2013,52.200001,52.580002,52.200001,52.560001,4800,44.947361
SIZE,5/24/2013,52.400002,52.400002,52.279999,52.32,3000,44.742115
SIZE,5/28/2013,52.98,52.98,52.66,52.700001,2000,45.067089
SIZE,5/29/2013,52.099998,52.099998,52.099998,52.099998,200,44.553986
SIZE,5/30/2013,52.389999,52.389999,52.389999,52.389999,300,44.801987
SIZE,5/31/2013,52.389999,52.389999,52.389999,52.389999,200,44.801987
SIZE,6/3/2013,51.52,51.619999,51.52,51.619999,200,44.143524
SIZE,6/4/2013,51.73,51.75,51.450001,51.450001,2500,43.998127
SIZE,6/5/2013,51,51,50.98,50.98,400,43.596195
SIZE,6/6/2013,50.830002,50.830002,50.830002,50.830002,100,43.467922
SIZE,6/7/2013,51.830002,51.849998,51.830002,51.849998,1200,44.340202
SIZE,6/10/2013,52.27,52.27,51.93,51.93,3700,44.4086
SIZE,6/11/2013,51.849998,51.849998,51.849998,51.849998,500,44.340202
SIZE,6/12/2013,51.75,51.75,51.43,51.43,1100,43.98103
SIZE,6/13/2013,51.75,51.75,51.09,51.240002,700,43.818554
SIZE,6/14/2013,51.959999,51.959999,51.959999,51.959999,2100,44.434261
SIZE,6/17/2013,51.990002,51.990002,51.990002,51.990002,300,44.459915
SIZE,6/18/2013,51.990002,51.990002,51.990002,51.990002,0,44.459915
SIZE,6/19/2013,51.990002,51.990002,51.990002,51.990002,0,44.459915
SIZE,6/20/2013,50.759998,50.759998,50.490002,50.490002,4100,43.177193
SIZE,6/21/2013,50.639999,50.639999,50.639999,50.639999,300,43.305443
SIZE,6/24/2013,50.639999,50.639999,50.639999,50.639999,0,43.305443
SIZE,6/25/2013,50.639999,50.639999,50.639999,50.639999,0,43.305443
SIZE,6/26/2013,51.07,51.07,51.07,51.07,500,43.67318
SIZE,6/27/2013,51.290001,51.290001,51.290001,51.290001,300,44.04501
SIZE,6/28/2013,51.310001,51.310001,51.310001,51.310001,100,44.06218
SIZE,7/1/2013,51.389999,51.389999,51.389999,51.389999,1000,44.130882
SIZE,7/2/2013,51.389999,51.389999,51.389999,51.389999,0,44.130882
SIZE,7/3/2013,50.48,51.349998,50.48,51.349998,2500,44.096535
SIZE,7/5/2013,51.349998,51.349998,51.349998,51.349998,0,44.096535
SIZE,7/8/2013,52.049999,52.049999,52.049999,52.049999,200,44.697651
SIZE,7/9/2013,52.049999,52.049999,52.049999,52.049999,0,44.697651
SIZE,7/10/2013,52.049999,52.049999,52.049999,52.049999,0,44.697651
SIZE,7/11/2013,53.040001,53.040001,53.040001,53.040001,1000,45.547817
SIZE,7/12/2013,53.040001,53.040001,53.040001,53.040001,0,45.547817
SIZE,7/15/2013,53.040001,53.040001,53.040001,53.040001,0,45.547817
SIZE,7/16/2013,53.040001,53.040001,53.040001,53.040001,0,45.547817
SIZE,7/17/2013,53.040001,53.040001,53.040001,53.040001,0,45.547817
